MaxReturn,AverageReturn,AbsLearnSignalNew,AverageDiscountedReturn,NumTrajs,AverageQ,Entropy,Time,AverageQLoss,LossBefore,MeanKLBefore,Iteration,PolicyExecTime,ExplainedVariance,EnvExecTime,LossAfter,AverageAbsQ,AverageAbsQYDiff,Perplexity,ProcessExecTime,AbsLearnSignalOld,AverageY,AverageAbsY,StdReturn,ItrTime,MinReturn,dLoss,MeanKL,AveragePolicyStd,AbsLearnSignal
845.278679952,384.608735974,0.402563704592,260.588830243,64,173.173,24.1212,2845.546181201935,85.7829,-181.734,0.0,43,1.154930591583252,-0.331614009341,9.421616554260254,-181.842,173.202,6.39151730827,2.99026e+10,0.13917040824890137,0.402413538111,173.192140557,173.197249779,104.081958722,64.22774171829224,187.052136657,0.1082,0.00995815,0.999958,0.402563704592
650.420973102,388.221426382,0.470648542316,263.781242315,63,173.882,24.1216,2909.9013299942017,85.1156,-177.373,0.0,44,1.168180227279663,-0.233921278466,9.603945970535278,-177.642,173.91,6.3671664333,2.99148e+10,0.14197659492492676,0.470484604211,173.90012312,173.905112779,81.6703384182,64.23604106903076,251.243882598,0.26889,0.00753306,0.999982,0.470648542316
717.60721149,397.453522062,0.664971861178,265.835117528,62,174.253,24.1207,2974.1886563301086,85.0455,-183.409,0.0,45,1.1567103862762451,0.42821198409,9.58449101448059,-183.534,174.285,6.35912970093,2.98859e+10,0.13782858848571777,0.664950365529,174.270698323,174.275506762,105.247072744,64.16405701637268,184.255297789,0.125702,0.00999657,0.999927,0.664971861178
767.151251531,395.168526279,0.658546269533,263.765578888,63,174.95,24.1241,3037.9193964004517,83.7833,-186.669,0.0,46,1.1800107955932617,0.101693626111,9.609867572784424,-186.79,174.986,6.31557037159,2.99885e+10,0.13986945152282715,0.658094368767,174.969160506,174.977244819,117.375039166,63.60936903953552,172.971508516,0.121094,0.00993028,1.00013,0.658546269533
664.182985489,404.456746635,0.146129211044,268.587012705,61,175.61,24.1226,3101.903079032898,86.0681,-182.74,0.0,47,1.1707608699798584,-75.2197351202,9.625786304473877,-182.856,175.65,6.37833950874,2.99427e+10,0.13942670822143555,0.146137145287,175.625431244,175.632801407,108.905396395,63.866169452667236,218.079274995,0.116013,0.00772135,1.00004,0.146129211044
863.400813661,431.243041373,0.251381083805,277.618979895,57,175.764,24.1215,3165.6039962768555,86.8671,-185.554,0.0,48,1.1719622611999512,-3.48682363356,9.632902383804321,-185.784,175.799,6.38752126354,2.99117e+10,0.13728570938110352,0.251260825617,175.780904507,175.786924057,134.142273513,63.58306884765625,193.055761046,0.229431,0.00862085,0.999978,0.251381083805
1123.33891744,438.66044227,0.0703734881316,277.327795893,56,176.481,24.1247,3230.5036187171936,85.2714,-184.628,0.0,49,1.1713171005249023,-451.927533775,9.836033344268799,-184.723,176.515,6.32744356282,3.00068e+10,0.13863778114318848,0.0703637568986,176.496803887,176.503353939,170.652956254,64.78746104240417,184.863714084,0.0948792,0.00961842,1.00016,0.0703734881316
720.766183586,411.323548204,0.491130263027,271.557293472,61,176.504,24.1272,3295.689919233322,85.5067,-188.389,0.0,50,1.2374553680419922,-0.896918530051,10.14219331741333,-188.559,176.537,6.32668593004,3.00813e+10,0.1427021026611328,0.491007934413,176.520252249,176.525837015,112.034409735,65.06866502761841,223.033665917,0.169617,0.00968597,1.00031,0.491130263027
697.940666816,407.048398655,0.631934292181,271.311724147,61,176.823,24.1302,3360.476528406143,84.2617,-193.426,0.0,51,1.191910743713379,0.320963718283,9.661611557006836,-193.545,176.857,6.29822179877,3.01727e+10,0.14480090141296387,0.63224809031,176.839036525,176.845176935,96.696134869,64.66395020484924,221.464967236,0.118835,0.00992503,1.00049,0.631934292181
807.987215063,395.26702211,0.41431491303,264.807910444,62,176.659,24.1329,3425.197653532028,82.9985,-189.21,0.0,52,1.169628620147705,-0.32813524593,9.730251550674438,-189.327,176.687,6.2476172673,3.02529e+10,0.14184284210205078,0.414202939478,176.673896835,176.678226617,106.999279704,64.60184860229492,188.603189785,0.117493,0.009244,1.00065,0.41431491303
811.984904854,397.854840748,0.169799276376,264.206698703,62,177.036,24.1325,3490.4228341579437,81.0393,-185.654,0.0,53,1.2116801738739014,-37.4974135212,9.815970420837402,-185.763,177.066,6.1717240169,3.02424e+10,0.14099836349487305,0.169737440148,177.049142239,177.05483946,125.151815382,65.10285091400146,166.032040397,0.109482,0.00814271,1.00063,0.169799276376
741.35508518,390.670146815,0.65940357533,263.198699275,63,177.104,24.1365,3555.9127786159515,80.8645,-183.033,0.0,54,1.2086849212646484,0.170395046463,10.001381397247314,-183.147,177.134,6.15633648041,3.03648e+10,0.14325666427612305,0.659079548952,177.120612464,177.126955961,94.6542861153,65.36566972732544,199.329380042,0.114166,0.00981366,1.00086,0.65940357533
