MinReturn,PolicyExecTime,AverageQLoss,AbsLearnSignalOld,AverageDiscountedReturn,ProcessExecTime,LossAfter,AverageQ,AbsLearnSignalNew,StdReturn,NumTrajs,AverageY,ExplainedVariance,AverageAbsQ,Perplexity,LossBefore,Entropy,EnvExecTime,AveragePolicyStd,dLoss,Iteration,MaxReturn,AverageAbsQYDiff,Time,MeanKL,AverageAbsY,ItrTime,AverageReturn,MeanKLBefore,AbsLearnSignal
180.422355284,1.04667067527771,70.0564,0.531850762466,251.11189273,0.13611125946044922,-181.028,169.532,0.532184390558,100.957725547,70,169.541677672,-0.381125825541,169.559,2.98604e+10,-180.924,24.1198,9.0895676612854,0.99988,0.104172,54,603.180683723,5.73944495768,3006.139272928238,0.00854078,169.548196171,55.579434394836426,361.952557565,0.0,0.532184390558
222.846038966,1.0710852146148682,69.1183,0.365936814622,250.539936002,0.13823580741882324,-175.184,169.374,0.366171876512,90.7537995645,70,169.384700955,-1.2454594107,169.402,2.98316e+10,-174.913,24.1188,9.272387504577637,0.999823,0.271286,55,635.738857254,5.69949705654,3061.755945444107,0.00860669,169.391026311,55.47052550315857,359.2382921,0.0,0.366171876512
157.173290354,1.0613181591033936,69.1718,0.398703962139,246.807157623,0.13402009010314941,-171.663,168.552,0.398788736108,88.210436929,71,168.562162897,-0.335255731255,168.58,2.98946e+10,-171.549,24.1209,9.144895076751709,0.999947,0.114197,56,577.747647794,5.70533630211,3117.906902074814,0.0078132,168.56765901,56.02841305732727,351.510768257,0.0,0.398788736108
204.829882912,1.0307056903839111,69.8417,0.649940380562,254.913730661,0.1335587501525879,-169.495,167.727,0.649787959709,81.8277164822,67,167.73721731,0.391965684765,167.756,2.98517e+10,-169.385,24.1195,8.88217830657959,0.999863,0.110306,57,646.765214209,5.69611668453,3173.325870990753,0.0090207,167.743884251,55.29883432388306,368.151034463,0.0,0.649787959709
161.992764788,1.016498327255249,70.112,0.627061212865,251.141773971,0.13353753089904785,-175.058,167.039,0.626827094832,94.9386838023,70,167.04886979,0.454186301182,167.067,2.97453e+10,-174.968,24.1159,8.798503875732422,0.999653,0.0905609,58,648.693932569,5.67597232865,3228.6367242336273,0.00759771,167.056242718,55.19064521789551,360.621071767,0.0,0.626827094832
225.20661166,1.0628430843353271,68.5107,0.364642154677,251.935387163,0.13370847702026367,-168.523,166.711,0.364775726682,86.6040931364,68,166.722357855,-2.91736830413,166.735,2.98491e+10,-168.427,24.1194,8.986267328262329,0.999858,0.0960236,59,620.782474572,5.64248640472,3284.161972761154,0.00946681,166.728767635,55.39029145240784,363.427148259,0.0,0.364775726682
196.081247284,1.0577502250671387,68.6414,0.619765515177,267.122645856,0.13471746444702148,-172.326,166.228,0.61958703006,103.506808046,63,166.236504967,0.270943534101,166.257,2.99068e+10,-172.224,24.1214,9.161343574523926,0.999972,0.101883,60,706.512725968,5.63066535705,3339.326248407364,0.00986766,166.241473632,55.03938150405884,397.91427969,0.0,0.61958703006
254.195487152,1.1186532974243164,68.8863,0.295977792035,261.419507011,0.13780641555786133,-169.669,166.111,0.295818854467,84.3683892402,65,166.121112841,-8.26690842263,166.134,2.99201e+10,-169.568,24.1218,9.440461158752441,1.0,0.101105,61,713.960565634,5.60675157922,3394.8364219665527,0.00700268,166.126142106,55.39088726043701,382.137162023,0.0,0.295818854467
233.836929315,1.0963237285614014,67.2505,0.643162535397,268.077537414,0.13452744483947754,-169.276,165.229,0.64324188595,85.745019268,63,165.239317105,0.336001808301,165.252,3.00566e+10,-169.181,24.1263,9.382490873336792,1.00027,0.094986,62,629.066081289,5.55705132388,3449.980486869812,0.00934701,165.243220819,55.02455186843872,396.805128609,0.0,0.64324188595
212.547754484,1.056898832321167,65.0446,0.669747798261,267.428555468,0.13391757011413574,-169.759,165.465,0.669797227102,101.499657809,62,165.472210676,0.431506840216,165.487,3.00137e+10,-169.653,24.1249,8.978299140930176,1.00018,0.106262,63,742.332705527,5.47852480062,3504.300178527832,0.00787024,165.476343174,54.20067834854126,398.329779494,0.0,0.669797227102
149.396222629,1.0949974060058594,65.6327,0.579860662384,263.399350146,0.13599658012390137,-168.356,164.762,0.579582541159,88.6909767013,64,164.774165573,-0.0777089003465,164.789,3.00701e+10,-168.267,24.1268,9.381514310836792,1.00029,0.0893097,64,650.370409626,5.47287882382,3559.3898179531097,0.00900218,164.779788509,54.970497369766235,388.238760853,0.0,0.579582541159
262.346305569,1.0570189952850342,65.5366,0.141771621041,270.217256256,0.13308238983154297,-170.878,165.113,0.141851385485,121.472203619,61,165.122980988,-32.5220093352,165.14,3.01869e+10,-170.801,24.1307,9.055020093917847,1.00052,0.0768585,65,999.067409836,5.47810910137,3614.0174763202667,0.00989063,165.129657356,54.5077064037323,407.291367352,0.0,0.141851385485
230.239070612,1.0947914123535156,64.7442,0.190478362653,270.730137837,0.13675951957702637,-170.689,165.457,0.190433357413,98.5930637899,63,165.47049782,-11.5211055308,165.487,3.01506e+10,-170.57,24.1295,9.195300817489624,1.00045,0.118073,66,798.408942533,5.41407017532,3669.254334926605,0.00874591,165.475985855,55.117154598236084,404.994388032,0.0,0.190433357413
248.423823526,1.065995693206787,63.3942,0.680362129747,278.40210848,0.13467717170715332,-167.609,165.308,0.680288636174,99.7609438644,58,165.318797658,0.352355724428,165.334,3.01239e+10,-167.514,24.1286,9.282053470611572,1.0004,0.0951996,67,755.352106023,5.38399981046,3724.7093529701233,0.00993972,165.323031465,55.33477735519409,423.452621486,0.0,0.680288636174
237.033699523,1.0540690422058105,64.7258,0.559576199847,275.558220849,0.1332988739013672,-168.97,165.501,0.559514234033,103.115577733,60,165.51023793,0.188902111445,165.532,3.00641e+10,-168.862,24.1266,9.100542068481445,1.00028,0.10788,68,753.504865193,5.39688002497,3779.728851079941,0.00930511,165.517570575,54.90097641944885,416.431379297,0.0,0.559514234033
225.744198313,1.069079875946045,67.4858,0.095986725008,265.394413062,0.13680672645568848,-169.152,165.985,0.0960010248221,78.3269010399,64,165.993625106,-85.0783305932,166.013,3.01189e+10,-169.036,24.1284,9.180578470230103,1.00039,0.115906,69,591.47438141,5.46488683949,3835.6855561733246,0.00896572,165.999320202,55.83682727813721,390.115844212,0.0,0.0960010248221
