AveragePolicyStd,LossAfter,ProcessExecTime,AbsLearnSignal,NumTrajs,AbsLearnSignalNew,PolicyExecTime,EnvExecTime,AverageQ,Time,ExplainedVariance,AverageAbsQYDiff,MeanKL,MinReturn,ItrTime,dLoss,Entropy,Perplexity,LossBefore,AverageY,MeanKLBefore,AbsLearnSignalOld,AverageAbsY,AverageAbsQ,StdReturn,MaxReturn,AverageReturn,Iteration,AverageQLoss,AverageDiscountedReturn
1.00014,-171.387,0.14367103576660156,0.500316007553,67,0.500316007553,1.0786969661712646,8.368216037750244,159.95,2241.1583099365234,-0.342732836825,6.30112703698,0.00996545,217.307478202,54.56090950965881,0.141312,24.1242,2.99919e+10,-171.246,159.965813739,0.0,0.500372900825,159.96799538,159.971,71.6371474616,514.039086267,364.734770637,40,79.802,254.0719334
0.999927,-166.214,0.15302276611328125,0.382775651861,68,0.382775651861,1.1206598281860352,8.71117377281189,160.412,2297.3788850307465,-0.392685402681,6.27978475959,0.00507429,208.596556867,56.094375133514404,0.0763702,24.1206,2.98853e+10,-166.137,160.425481988,0.0,0.382648863074,160.428967545,160.437,90.4908593372,669.672630457,364.332271847,41,79.2974,252.661394024
0.999877,-170.441,0.14801573753356934,0.64211619419,67,0.64211619419,1.0995540618896484,8.484671354293823,161.091,2352.4982466697693,0.219103235077,6.26649956013,0.00959391,215.128611973,54.99401783943176,0.119736,24.1198,2.98602e+10,-170.321,161.106354738,0.0,0.641830842024,161.109833754,161.114,86.9709876659,636.065171803,372.994097892,42,78.7692,257.550728167
0.999891,-168.895,0.14415383338928223,0.639275789711,67,0.639275789711,1.079035997390747,8.419006109237671,161.58,2406.967873811722,0.331442166072,6.23426562267,0.00997824,157.390745895,54.3447163105011,0.116974,24.12,2.98671e+10,-168.778,161.595184967,0.0,0.639292733397,161.598637878,161.605,96.5865214339,741.75407369,372.70605719,43,78.0426,256.708645978
0.999747,-170.41,0.14439964294433594,0.629756439185,64,0.629756439185,1.0971612930297852,8.34762692451477,161.924,2461.7442724704742,0.257029019986,6.22265682558,0.00988889,207.901148111,54.6534538269043,0.123764,24.1176,2.97934e+10,-170.287,161.937661489,0.0,0.629334487722,161.942092856,161.948,87.3432712984,597.796955744,383.802696693,44,77.4398,262.208218276
0.999599,-171.825,0.15227937698364258,0.426629836359,68,0.426629836359,1.12050461769104,8.709725379943848,162.908,2517.4555926322937,0.0062061057409,6.21956365783,0.00649871,143.373160872,55.586214542388916,0.095459,24.115,2.9718e+10,-171.729,162.923497787,0.0,0.427300441646,162.926439701,162.928,89.9009961889,626.516531772,365.000881315,45,77.6633,252.938568152
0.999661,-168.572,0.14922761917114258,0.683448462952,67,0.683448462952,1.1104769706726074,8.796784400939941,163.286,2572.415631532669,0.519906045377,6.16735498102,0.0098851,187.526569846,54.83325242996216,0.111282,24.1161,2.97491e+10,-168.461,163.298965686,0.0,0.683007041043,163.302245766,163.307,98.788356702,765.880186287,375.649701209,46,75.8487,258.211646287
0.999676,-174.568,0.14791417121887207,0.67727532558,67,0.67727532558,1.0864503383636475,8.565317153930664,164.147,2627.093675136566,0.119029627329,6.1243984418,0.00997891,185.337854314,54.55290913581848,0.109512,24.1163,2.97567e+10,-174.458,164.161936616,0.0,0.677185126007,164.166361355,164.173,97.9687159164,679.775264408,375.293165123,47,74.8533,257.700667851
0.999572,-171.193,0.14966869354248047,0.660583157042,67,0.660583157042,1.1078500747680664,8.697656393051147,164.589,2682.6082594394684,0.343929096018,6.12192375685,0.0097049,185.561150571,55.386759519577026,0.099411,24.1145,2.97037e+10,-171.094,164.601501454,0.0,0.660664078489,164.606105117,164.615,79.2843199312,608.452634206,372.418819109,48,75.3392,257.67358102
0.999658,-170.588,0.14979887008666992,0.602800641868,64,0.602800641868,1.1258819103240967,8.746480941772461,164.786,2738.7677414417267,0.27406638148,6.09098988178,0.0099357,162.808487711,56.0354688167572,0.113495,24.116,2.97477e+10,-170.475,164.798469619,0.0,0.601485769406,164.803339487,164.812,106.318242444,854.204672237,387.630876386,49,74.8015,262.387479883
