NumTrajs,LossBefore,Perplexity,Time,AverageQ,AbsLearnSignal,MinReturn,StdReturn,PolicyExecTime,AveragePolicyStd,AverageReturn,AverageAbsQ,Iteration,ExplainedVariance,AverageQLoss,AverageAbsQYDiff,ProcessExecTime,AbsLearnSignalOld,AverageAbsY,EnvExecTime,MaxReturn,AverageY,AverageDiscountedReturn,MeanKL,LossAfter,Entropy,MeanKLBefore,AbsLearnSignalNew,dLoss,ItrTime
61,-213.808,2.97175e+10,10616.419320583344,193.23,0.562369454572,228.250863351,111.995541184,1.2382097244262695,0.999602,406.690596537,198.102,194,0.35116897238,3619.41,23.6841291962,0.1596369743347168,0.560584359991,199.285091236,10.59592580795288,792.757409196,193.372238014,269.661100244,0.00995452,-214.025,24.115,0.0,0.562369454572,0.216812,58.83015441894531
59,-218.818,2.97557e+10,10674.406195163727,187.403,0.567171638592,263.679917626,95.4674887326,1.2536582946777344,0.999677,419.780064489,194.732,195,0.212937324349,3768.4,24.2813537418,0.16187477111816406,0.566165484065,196.06584681,10.434189796447754,746.444620414,187.525384156,277.002901413,0.00987317,-219.044,24.1163,0.0,0.567171638592,0.226837,57.84536147117615
62,-219.313,2.97875e+10,10732.07658290863,179.867,0.65534557409,151.717131995,87.4279394317,1.1353914737701416,0.99974,384.852944207,189.711,196,0.572245169439,3452.57,23.5764403575,0.13771438598632812,0.654276789993,191.042885935,10.245614767074585,654.83519021,179.968792785,260.725275466,0.00999495,-219.52,24.1174,0.0,0.65534557409,0.206024,57.534674882888794
63,-209.812,2.97514e+10,10792.38379907608,176.033,0.462427319061,245.176422374,89.5074434225,1.1174094676971436,0.999669,389.844144826,187.695,197,-0.605140342621,3231.52,22.7144712914,0.13974905014038086,0.461248198257,189.039036195,10.089567184448242,643.316669975,176.161221597,263.480582294,0.00641409,-209.988,24.1161,0.0,0.462427319061,0.17627,60.16372895240784
60,-232.376,2.97562e+10,10849.55710554123,175.409,0.562980983628,236.035386821,92.9953891815,1.1387953758239746,0.999678,402.82922538,187.981,198,0.319534418658,2891.7,21.6937659219,0.14144396781921387,0.562169280647,189.357968773,10.259336948394775,603.561672538,175.523623179,268.564034558,0.00998795,-232.587,24.1163,0.0,0.562980983628,0.210739,57.04015874862671
67,-215.407,2.9768e+10,10908.85669875145,178.572,0.613999056003,186.416388777,89.9251934925,1.1721956729888916,0.999701,364.358869728,189.415,199,0.263429014902,2803.52,20.8902219445,0.14542222023010254,0.612272907657,190.952329862,10.497616052627563,640.280080856,178.682398256,251.10048938,0.00641034,-215.626,24.1167,0.0,0.613999056003,0.219406,59.164910316467285
57,-237.72,2.97393e+10,10968.830990076065,188.836,0.592860078183,242.484194606,105.895171236,1.1542205810546875,0.999645,427.127013244,196.48,200,0.284643745268,2893.11,20.3092141208,0.14595580101013184,0.592461021238,197.972832469,10.36830186843872,782.013142478,188.98225732,277.777768876,0.00641783,-237.938,24.1157,0.0,0.592860078183,0.217819,59.84469270706177
62,-236.274,2.97137e+10,11030.408531427383,199.893,0.727074213589,241.455719776,91.9580036984,1.1875693798065186,0.999594,383.074798713,204.633,201,0.554256785761,2652.33,19.3211503275,0.14547038078308105,0.727090128971,206.06969578,10.37356424331665,618.07534374,200.057081185,259.065883975,0.00999834,-236.57,24.1149,0.0,0.727074213589,0.296143,61.44521379470825
64,-250.534,2.96962e+10,11089.232247829437,209.641,0.510913732643,210.907811044,104.582796135,1.186957836151123,0.999559,368.147814096,212.515,202,0.0142845598274,2584.7,18.4776837849,0.14423298835754395,0.507786700233,214.174511429,10.449660062789917,699.787821292,209.781714968,250.641505077,0.00990264,-250.835,24.1143,0.0,0.510913732643,0.301651,58.676125049591064
67,-247.622,2.96881e+10,11146.963209152222,222.98,0.643243652101,220.414160978,87.1047545195,1.158679485321045,0.999543,352.944509563,224.674,203,0.450078589407,2481.33,17.6711461662,0.13785862922668457,0.642703041579,226.344891924,10.32778024673462,671.671991921,223.157025091,245.003963825,0.00640302,-247.894,24.114,0.0,0.643243652101,0.272232,57.6110155582428
67,-242.196,2.96972e+10,11203.693543434143,233.546,0.658297515476,208.218934745,87.9300072939,1.0915420055389404,0.999561,345.245530878,234.861,204,0.470616684062,2214.1,16.6929358734,0.13327312469482422,0.656523957539,236.590713224,9.632868766784668,663.892807763,233.750848054,240.720322158,0.00640468,-242.458,24.1143,0.0,0.658297515476,0.262161,56.61440062522888
65,-247.915,2.96964e+10,11262.186078548431,238.252,0.641019951844,239.141699262,92.9410201549,1.1251184940338135,0.99956,360.42293852,239.789,205,0.490202175536,2289.35,16.698975193,0.13846921920776367,0.638822095253,241.825198874,9.886106491088867,659.625237224,238.42500027,247.362406123,0.00641087,-248.152,24.1143,0.0,0.641019951844,0.23764,58.367072343826294
70,-240.313,2.97017e+10,11321.236016750336,239.408,0.708145048307,212.653642263,61.5596268935,1.0633883476257324,0.99957,332.655468099,241.224,206,0.674029652119,2276.01,16.0808400872,0.13143420219421387,0.706473477273,243.342499748,9.501099824905396,548.141572579,239.555922271,235.919524022,0.00639962,-240.556,24.1145,0.0,0.708145048307,0.242767,58.92200827598572
72,-234.092,2.97045e+10,11382.775062799454,240.354,0.703209173012,213.363815391,76.9022405813,1.141404628753662,0.999575,318.249652231,242.145,207,0.763301030391,2110.76,15.3763606943,0.1376340389251709,0.698853927129,244.162559085,9.750611066818237,614.955397468,240.479351297,227.437285303,0.00999091,-234.409,24.1146,0.0,0.703209173012,0.317047,61.41091823577881
71,-234.676,2.96958e+10,11446.242703914642,242.136,0.554570361656,203.404021824,80.8666916654,1.1002237796783447,0.999558,322.729496981,244.326,208,0.421131368454,2337.45,15.3327637426,0.13456034660339355,0.551319646786,246.466337085,9.60546350479126,632.62891467,242.243686791,229.588776542,0.00999806,-234.997,24.1143,0.0,0.554570361656,0.321243,63.33096146583557
75,-224.075,2.96979e+10,11506.973747015,244.987,0.687741189955,215.376989147,48.6581886761,1.1777195930480957,0.999562,306.784164547,246.955,209,0.719698114528,2211.3,14.74512156,0.14603352546691895,0.684061021249,249.062456778,9.599698781967163,413.397835421,245.078819042,223.005680107,0.00998809,-224.397,24.1143,0.0,0.687741189955,0.321442,60.60623860359192
74,-231.17,2.96991e+10,11570.636952400208,247.599,0.665584755796,232.132433637,57.0131032007,1.1774547100067139,0.999564,312.615597383,249.681,210,0.838753136064,1995.11,14.16064716,0.14734482765197754,0.661937232316,251.565918856,9.704426527023315,522.003999805,247.684955942,225.834978769,0.00997669,-231.511,24.1144,0.0,0.665584755796,0.340683,63.50997877120972
74,-229.54,2.9716e+10,11630.462925434113,249.294,0.503002996655,226.621912293,51.2456888895,1.0394604206085205,0.999598,315.273660815,251.486,211,0.63235053546,1995.53,14.2375675062,0.1290740966796875,0.499826830186,253.357051593,9.30478286743164,453.380919227,249.383981645,227.679996671,0.00998381,-229.9,24.115,0.0,0.503002996655,0.360214,59.67902636528015
71,-211.298,2.97149e+10,11685.665026187897,250.994,0.416874422496,212.833230899,60.8642591672,1.040644884109497,0.999596,324.544197628,253.158,212,0.235507913034,1947.26,13.9894609258,0.13195371627807617,0.414364003213,254.953484388,9.433359622955322,502.3720164,251.075604492,231.470952513,0.00996416,-211.629,24.1149,0.0,0.416874422496,0.330444,55.05341553688049
72,-222.2,2.9707e+10,11741.51927614212,251.622,0.64334165388,239.554760607,55.4097022392,0.9710471630096436,0.99958,324.456120279,253.6,213,0.826100552915,1834.94,13.3376170706,0.12450504302978516,0.638664681076,255.223334715,9.127874612808228,487.216634629,251.688169989,232.222557692,0.00996002,-222.534,24.1146,0.0,0.64334165388,0.334213,55.723105669021606
72,-221.376,2.97e+10,11797.015079021454,252.127,0.568271706645,242.206588789,58.9477411316,1.019885778427124,0.999566,325.755408616,253.826,214,0.705881973576,1567.98,12.5931962238,0.12893104553222656,0.564193452931,255.235525965,9.589922904968262,490.216207513,252.184702653,232.821088662,0.00997659,-221.698,24.1144,0.0,0.568271706645,0.321594,55.36191725730896
