AverageAbsQ,AverageDiscountedReturn,MaxReturn,AbsLearnSignalOld,AverageAbsQYDiff,Time,AbsLearnSignalNew,dLoss,AverageY,AverageQLoss,Perplexity,ExplainedVariance,Iteration,NumTrajs,MeanKL,LossAfter,ProcessExecTime,MinReturn,AverageReturn,PolicyExecTime,AveragePolicyStd,LossBefore,Entropy,EnvExecTime,AverageAbsY,MeanKLBefore,StdReturn,ItrTime,AverageQ,AbsLearnSignal
365.111,283.493163709,3756.13897401,0.520047170711,2.9354884662,47130.18489718437,0.519878281644,0.0354614,365.087709709,136.625,933.574,-0.249380913531,1376,5,0.00651557,-355.58,0.09290432929992676,2679.74005827,3377.70730787,0.70904541015625,0.790243,-355.544,6.83902,1.5895371437072754,365.114354554,0.0,407.838810518,33.12564444541931,365.085,0.519878281644
364.799,289.550133045,3747.68300928,0.710203701324,2.93954756736,47163.199837207794,0.710645846417,0.0517578,364.770546904,148.885,932.708,0.815952019213,1377,5,0.009901,-320.348,0.09106302261352539,1755.99073956,3145.20122634,0.6553652286529541,0.790112,-320.296,6.83809,1.5497527122497559,364.803065836,0.0,764.467278754,32.89388632774353,364.767,0.710645846417
364.608,289.265167453,3752.92527307,0.643206375342,2.93081706575,47196.61990404129,0.644086248584,0.0358887,364.580735877,145.794,932.869,0.748700770354,1378,5,0.00986952,-379.335,0.09518170356750488,3502.46701824,3671.28331405,0.6885673999786377,0.790132,-379.299,6.83826,1.5643012523651123,364.610584508,0.0,89.0209406586,33.30430817604065,364.578,0.644086248584
364.316,239.540063,3670.72850881,0.644663876579,2.98714767828,47230.00521326065,0.644472914292,0.0401611,364.293666065,152.286,934.144,0.0492129353991,1379,5,0.0098544,-313.83,0.09161114692687988,676.499327492,3013.37230263,0.6873824596405029,0.790331,-313.79,6.83963,1.5925729274749756,364.318454759,0.0,1170.26261547,33.26271867752075,364.291,0.644472914292
363.903,268.052296582,3593.10826398,0.653486466442,2.91001557501,47263.294004678726,0.653652930844,0.0416565,363.877882501,146.879,934.817,0.818527492462,1380,5,0.00987866,-341.657,0.09156560897827148,2167.20374324,3251.76037325,0.6787943840026855,0.790416,-341.615,6.84035,1.5689074993133545,363.905970217,0.0,545.239591026,33.17346167564392,363.875,0.653652930844
363.962,276.457342344,3729.85981649,0.668339797615,2.91139695306,47296.40416288376,0.667825104658,0.0274658,363.937994725,140.96,934.885,0.842646175415,1381,5,0.00641507,-339.986,0.09230446815490723,1976.76578848,3272.97222687,0.6689386367797852,0.79043,-339.959,6.84042,1.5682072639465332,363.965830125,0.0,656.55421664,32.98656868934631,363.934,0.667825104658
363.834,290.7023915,3699.73923378,0.700786186997,2.89504543999,47329.60704755783,0.700846027491,0.032959,363.815950917,135.939,934.014,0.788540534411,1382,5,0.00992898,-377.273,0.09447264671325684,3377.37334206,3613.68372459,0.7200682163238525,0.790298,-377.24,6.83949,1.583686351776123,363.838701836,0.0,119.754149956,33.07389426231384,363.811,0.700846027491
364.199,283.264479476,3772.18768846,0.732486033488,2.93935403711,47362.74985432625,0.732296365019,0.0349426,364.172993165,134.763,932.975,0.804034054524,1383,5,0.00980838,-377.794,0.0940866470336914,3414.11470896,3647.88836723,0.7023437023162842,0.790182,-377.759,6.83838,1.5695948600769043,364.202088706,0.0,130.416983564,33.02730941772461,364.17,0.732296365019
364.238,280.278775335,3802.27769264,0.731990480798,2.94927770587,47395.90621805191,0.732839372063,0.0354309,364.208965771,144.482,932.784,0.868415833965,1384,5,0.00993258,-379.814,0.0985565185546875,3622.26337154,3712.94235522,0.6765961647033691,0.790202,-379.779,6.83817,1.537013053894043,364.24185807,0.0,60.4114277026,33.026012659072876,364.206,0.732839372063
364.032,291.243145989,3772.40657181,0.587251967768,2.94299038497,47429.093046188354,0.586988344855,0.0382996,364.003308663,139.036,932.226,0.487361800599,1385,5,0.0099321,-333.963,0.10126876831054688,1702.52124202,3277.66931788,0.7065432071685791,0.79017,-333.924,6.83757,1.5685811042785645,364.0346843,0.0,794.070933395,33.06701898574829,364.001,0.586988344855
