AverageQLoss,ExplainedVariance,ItrTime,Time,AbsLearnSignalNew,AveragePolicyStd,MaxReturn,LossAfter,Iteration,dLoss,NumTrajs,MeanKLBefore,Perplexity,Entropy,AverageQ,AverageAbsQYDiff,AverageAbsQ,ProcessExecTime,PolicyExecTime,AverageAbsY,AbsLearnSignal,StdReturn,MeanKL,AbsLearnSignalOld,MinReturn,EnvExecTime,LossBefore,AverageReturn,AverageDiscountedReturn,AverageY
146.575,0.760872678707,39.94479703903198,83721.16741752625,0.751025103074,0.85179,3795.54639844,-349.18,2033,0.0430298,5,0.0,1836.64,7.51569,326.638,3.99192437474,331.753,0.12463259696960449,0.9295883178710938,331.760683986,0.751025103074,247.28155405,0.00994786,0.750792756724,3110.85556966,1.5744171142578125,-349.136,3372.10924955,213.685160512,326.640962882
153.177,-6.96647052232,39.55349278450012,83760.85299992561,0.593437337434,0.851979,3524.42800544,-257.622,2034,0.0614319,5,0.0,1839.08,7.51702,325.837,3.97260009867,331.067,0.12326383590698242,0.938133955001831,331.068279172,0.593437337434,1062.97195965,0.00999357,0.593433479872,910.45538607,1.5799765586853027,-257.56,2542.33645851,273.517259782,325.837577248
131.54,0.542838282889,39.56302881240845,83800.54610133171,0.722197500404,0.851911,3665.3681772,-356.099,2035,0.0424805,5,0.0,1838.33,7.51661,325.969,3.88843080573,331.194,0.12586140632629395,0.9580450057983398,331.204106778,0.722197500404,132.837782007,0.009922,0.722199416935,3274.14166006,1.5934925079345703,-356.056,3527.69084821,272.26290161,325.974359983
148.635,0.87693566501,39.88150668144226,83840.56065797806,0.78895792484,0.851883,3633.4904426,-353.358,2036,0.0422974,5,0.0,1837.92,7.51639,326.354,3.94539965573,331.51,0.12458276748657227,0.9665930271148682,331.51672694,0.78895792484,89.8505617352,0.00994868,0.789420569895,3382.46274299,1.577270746231079,-353.316,3543.40243759,278.971725528,326.357197047
134.219,0.110688154876,39.92382478713989,83880.62158823013,0.544863576822,0.851837,3637.80672754,-288.232,2037,0.0679321,5,0.0,1837.24,7.51602,326.543,3.82998934849,331.646,0.12371516227722168,0.9587881565093994,331.64949708,0.544863576822,1308.43730111,0.00640046,0.544746691878,197.738348721,1.5842411518096924,-288.164,2795.34817447,223.602919322,326.545847875
133.002,0.773812197879,40.315701484680176,83921.07090640068,0.706913055111,0.851771,3820.55793078,-357.003,2038,0.0412292,5,0.0,1836.37,7.51554,326.736,3.79839332026,331.822,0.12276673316955566,0.9876711368560791,331.830330866,0.706913055111,117.251636419,0.00994816,0.707455062598,3463.34623346,1.5781662464141846,-356.962,3617.51429047,251.556381387,326.739157272
134.661,0.829415598207,40.358726978302,83961.56537437439,0.779380984167,0.851784,3536.48693,-351.249,2039,0.0343323,5,0.0,1836.56,7.51565,326.639,3.82217129035,331.727,0.12037873268127441,0.9156062602996826,331.732966559,0.779380984167,186.722429978,0.00640174,0.779412404101,3035.21880972,1.5553419589996338,-351.215,3353.21245755,255.180249118,326.642612251
136.055,0.837608190166,40.115543842315674,84001.8111512661,0.79586815683,0.851857,3527.35465065,-351.348,2040,0.0426636,5,0.0,1837.54,7.51618,326.472,3.81298921962,331.601,0.12676382064819336,0.9469411373138428,331.606525463,0.79586815683,131.87481967,0.00996886,0.795894567896,3141.31389744,1.5854730606079102,-351.305,3395.24609745,267.423371787,326.476116318
128.824,0.733958805197,40.20627403259277,84042.15198755264,0.668217231274,0.851864,3668.61373368,-330.818,2041,0.0502625,5,0.0,1837.74,7.51629,326.28,3.74830850839,331.451,0.12850475311279297,0.9645020961761475,331.452526045,0.668217231274,460.799986303,0.00994441,0.667650569408,2326.01304476,1.5613586902618408,-330.768,3208.24515361,255.036451998,326.28016593
129.459,0.119966133099,40.0928852558136,84082.38419795036,0.770993601751,0.851914,3496.92086506,-274.04,2042,0.0465088,5,0.0,1838.55,7.51673,325.75,3.79668697265,331.069,0.12546133995056152,0.9888904094696045,331.07139381,0.770993601751,1642.35058009,0.00999795,0.77121730273,-745.13384319,1.6030864715576172,-273.993,2536.2680906,187.022328344,325.754053593
135.476,0.742646874844,39.87025046348572,84122.39293003082,0.694739598055,0.851918,3496.67090967,-318.569,2043,0.0518799,5,0.0,1838.5,7.51671,326.036,3.85350252881,331.277,0.1238398551940918,0.9891233444213867,331.283994561,0.694739598055,641.12040354,0.00994783,0.694623078396,1870.98840136,1.5829811096191406,-318.517,3152.49348984,293.226372996,326.038062078
139.055,0.731058218153,39.65656089782715,84162.18658328056,0.695605544907,0.851856,3573.61318275,-353.895,2044,0.0357971,5,0.0,1837.74,7.51629,326.607,3.84501498396,331.777,0.12311410903930664,0.9588854312896729,331.779611774,0.695605544907,65.2722272139,0.00640652,0.695754546535,3421.11452839,1.569990634918213,-353.859,3511.52174243,234.126624763,326.609659871
127.577,0.725781229048,39.51623868942261,84201.83556246758,0.607765043335,0.851737,3523.58388466,-270.374,2045,0.0493774,5,0.0,1836.31,7.51551,326.092,3.86299833525,331.388,0.12072443962097168,0.94460129737854,331.398707462,0.607765043335,1042.81109492,0.00997245,0.607930119273,1233.97111281,1.5665106773376465,-270.324,2562.91595745,242.232836741,326.094292109
143.649,0.717885349654,39.63330578804016,84241.6040751934,0.659056206314,0.851754,3502.65596196,-326.616,2046,0.0499878,5,0.0,1836.43,7.51558,325.652,3.96391238095,331.049,0.11747121810913086,0.9331839084625244,331.052291556,0.659056206314,519.128239716,0.00999929,0.659072012806,2150.32796939,1.5552136898040771,-326.566,3179.97935992,257.752916707,325.653330691
140.294,0.484626300196,39.68232178688049,84281.42328381538,0.643860214007,0.851808,3475.03171233,-183.696,2047,0.0415497,5,0.0,1837.17,7.51598,324.808,3.93246302502,330.35,0.12454056739807129,0.9201366901397705,330.356755226,0.643860214007,1442.01309103,0.00640046,0.643969559541,-432.892135818,1.5617589950561523,-183.655,1678.76514619,211.168592185,324.810387971
130.574,0.284127856786,39.52519202232361,84321.0880355835,0.693593746702,0.851696,3664.91327112,-354.536,2048,0.0430908,5,0.0,1835.63,7.51514,324.889,3.91184669975,330.425,0.1176762580871582,0.8898019790649414,330.437193578,0.693593746702,104.118243166,0.00991345,0.69355912155,3394.37273289,1.547544240951538,-354.493,3510.3353705,245.075297587,324.891891533
144.521,-0.0575589280095,39.63125777244568,84360.85420203209,0.508726977486,0.851674,3509.87292615,-279.52,2049,0.0644226,5,0.0,1835.37,7.515,324.35,3.97427018398,329.983,0.1232748031616211,0.9051241874694824,329.992751208,0.508726977486,913.063508874,0.00995752,0.508887143683,1251.81442995,1.5476913452148438,-279.455,2719.62647977,249.813772611,324.355290896
144.412,0.694840134695,39.63066267967224,84400.61950492859,0.707544732428,0.851728,3544.77249679,-332.495,2050,0.039032,5,0.0,1835.88,7.51528,325.194,3.96919289457,330.66,0.12326478958129883,0.9040205478668213,330.669685381,0.707544732428,418.101908599,0.00995014,0.706994858165,2468.80257675,1.5604987144470215,-332.456,3304.10309963,257.745540645,325.198036709
