LossAfter,AverageAbsY,StdReturn,MinReturn,ItrTime,Entropy,AverageDiscountedReturn,Iteration,NumTrajs,dLoss,AbsLearnSignalNew,LossBefore,AbsLearnSignalOld,PolicyExecTime,MeanKL,AverageAbsQ,AverageReturn,AverageQ,AbsLearnSignal,AverageAbsQYDiff,AverageY,AveragePolicyStd,Time,EnvExecTime,MaxReturn,ProcessExecTime,ExplainedVariance,AverageQLoss,Perplexity,MeanKLBefore
-58.7559,45.8342364027,409.725084981,-10.07597491,39.55935859680176,8.00578,52.7568946285,58,5,0.0822372,0.731864614055,-58.6736,0.731933361322,0.9580972194671631,0.00990344,45.8241,805.442458648,38.7448,0.731864614055,1.50756731928,38.7496748574,0.919754,2344.2213368415833,1.6055800914764404,1069.53115241,0.11815929412841797,0.75264352913,6.13066,2998.23,0.0
-61.4696,48.214367754,411.531919959,16.3319344049,39.5469172000885,7.98998,79.5609326714,59,5,0.062294,0.758764470113,-61.4073,0.758443937395,0.9447660446166992,0.00640488,48.2056,836.420917874,41.3902,0.758764470113,1.54356293063,41.395468148,0.917345,2383.900074005127,1.592543601989746,1105.56768552,0.11771893501281738,0.751459597055,6.83661,2951.25,0.0
-72.7932,50.7879245532,195.094051858,605.889755687,39.345722675323486,7.98262,76.3309263615,60,5,0.0815887,0.742081834729,-72.7116,0.742805760551,0.9477825164794922,0.00998735,50.7795,970.156700756,44.2778,0.742081834729,1.55405323136,44.2833208211,0.916236,2423.3783082962036,1.5779080390930176,1188.91918067,0.11628937721252441,0.712503685656,6.82524,2929.6,0.0
-87.1224,53.635869865,105.826738624,1026.61404559,39.44743013381958,7.97377,103.44324351,61,5,0.0861053,0.788353114311,-87.0363,0.787259067127,0.9403798580169678,0.00988124,53.6274,1184.2432219,47.5443,0.788353114311,1.59758104618,47.5497655804,0.914881,2462.9607458114624,1.5808026790618896,1305.60880615,0.11614489555358887,0.541307104938,7.2912,2903.78,0.0
-88.8317,56.4082539367,152.140936619,934.341304466,39.544153690338135,7.97114,82.3331435274,62,5,0.0827789,0.781625384309,-88.7489,0.782321189361,0.9507524967193604,0.00995793,56.3986,1167.00526427,50.6094,0.781625384309,1.64508397284,50.6152323238,0.914503,2502.63760972023,1.5895187854766846,1353.06106775,0.11590123176574707,0.359628951061,7.83164,2896.15,0.0
-96.0867,59.3609554561,100.427790724,1073.8931895,39.37009644508362,7.9591,93.1418125717,63,5,0.0803528,0.787980106109,-96.0063,0.790322994328,0.9473893642425537,0.00989291,59.3514,1251.81759333,53.9193,0.787980106109,1.68121925453,53.9256988099,0.912647,2542.1404967308044,1.591461181640625,1374.30499002,0.11725592613220215,0.670482768456,8.86045,2861.51,0.0
-100.047,62.15934907,189.583943573,976.398123003,39.23351216316223,7.9463,104.793460491,64,5,0.0810242,0.797636618962,-99.9661,0.79657193372,0.9496891498565674,0.00992403,62.151,1221.62194565,57.0329,0.797636618962,1.70654518612,57.0393948655,0.910721,2581.509140729904,1.5799274444580078,1441.31720767,0.11596131324768066,0.492340773505,9.29734,2825.11,0.0
-96.1693,65.2200807218,231.833750049,806.937005699,39.37085580825806,7.94579,101.539545871,65,5,0.0673218,0.683635372711,-96.102,0.683543753983,0.931154727935791,0.00644756,65.2109,1158.29221206,60.4349,0.683635372711,1.74147595413,60.4415258782,0.910652,2621.0131783485413,1.5824766159057617,1429.25334067,0.11408209800720215,0.321346209781,9.7854,2823.65,0.0
-100.364,68.0511091159,134.466908122,955.93408194,39.366389989852905,7.93633,103.547264628,66,5,0.0872803,0.778366532255,-100.277,0.777756747274,0.9241352081298828,0.00995322,68.0436,1205.53514422,63.481,0.778366532255,1.77309220899,63.4861031122,0.909239,2660.5113430023193,1.5705065727233887,1363.01447978,0.1176614761352539,0.738395658162,10.3581,2797.09,0.0
-101.203,71.0825366887,262.191335346,753.167313348,39.617878913879395,7.92844,108.11508633,67,5,0.0609131,0.778265944864,-101.143,0.780862299318,0.9391422271728516,0.0064144,71.0718,1211.57655994,66.7648,0.778265944864,1.81908261745,66.7718811078,0.908037,2700.2620000839233,1.5820226669311523,1437.71598869,0.11533474922180176,0.648020687966,11.2533,2775.08,0.0
