AverageQ,AverageAbsY,EnvExecTime,MaxReturn,PolicyExecTime,AbsLearnSignalNew,StdReturn,MinReturn,LossAfter,AverageDiscountedReturn,Entropy,AbsLearnSignal,AverageAbsQ,NumTrajs,ItrTime,Iteration,ProcessExecTime,LossBefore,ExplainedVariance,dLoss,MeanKL,AbsLearnSignalOld,Perplexity,AverageQLoss,Time,MeanKLBefore,AverageY,AveragePolicyStd,AverageAbsQYDiff,AverageReturn
165.003,165.048216957,8.664623022079468,725.726960836,1.0174434185028076,0.559994570975,108.184105121,134.644086124,-169.204,248.355122809,24.123,0.559994570975,165.052,69,53.3578827381134,49,0.13485336303710938,-169.079,0.252804939634,0.124695,0.00983352,0.559577920745,2.99562e+10,84.3852,2675.0196034908295,0.0,165.019549664,1.00007,6.5030544063,359.008289053
164.247,164.289639062,8.863357543945312,673.009629829,1.027280330657959,0.725628636339,108.585601238,160.983149059,-168.169,252.038543378,24.1211,0.725628636339,164.291,68,53.06916618347168,50,0.13890933990478516,-168.035,0.367469454671,0.134232,0.0099685,0.724701874436,2.98982e+10,84.7663,2728.2191495895386,0.0,164.263435479,0.999954,6.47809297233,368.02430965
164.169,164.205434556,8.693861484527588,760.533094169,1.0220487117767334,0.584517421783,105.55252899,208.708368872,-167.714,243.841547553,24.1171,0.584517421783,164.214,70,53.10821986198425,51,0.13309860229492188,-167.587,0.0611880325695,0.126968,0.00975669,0.584390904053,2.97799e+10,83.8346,2781.4593212604523,0.0,164.183476406,0.99972,6.43386419442,350.028622644
163.603,163.640942903,8.88951301574707,634.977105834,1.0328342914581299,0.209216626689,94.9740114588,245.301280659,-170.861,261.24369863,24.1175,0.209216626689,163.646,64,53.54042100906372,52,0.13798928260803223,-170.734,-9.32839322626,0.127121,0.00967629,0.209154318503,2.97914e+10,81.4664,2835.13006234169,0.0,163.618708067,0.999744,6.34611940569,384.631004048
163.446,163.482355244,8.957776546478271,684.224681364,1.040168285369873,0.615898142315,98.2095490245,179.285149669,-170.38,247.133211995,24.1168,0.615898142315,163.484,69,52.6370689868927,53,0.13927078247070312,-170.224,0.345901627476,0.156113,0.00998805,0.615794939153,2.97699e+10,80.9482,2887.895085334778,0.0,163.460974591,0.999701,6.31984724348,356.436192718
163.547,163.581924052,9.031177520751953,764.030599048,1.0388069152832031,0.637631814009,106.001680746,220.433365355,-168.427,259.46420913,24.1138,0.637631814009,163.586,63,53.941447257995605,54,0.13717961311340332,-168.294,0.343260674446,0.132034,0.00994247,0.636981604145,2.9681e+10,81.3446,2941.971614599228,0.0,163.564868261,0.999526,6.30708769086,385.042112478
163.767,163.800470105,9.377326965332031,707.886575896,1.0771958827972412,0.118997691322,96.5072167519,231.563919831,-171.976,256.96356864,24.1138,0.118997691322,163.804,63,53.9009268283844,55,0.14037299156188965,-171.853,-26.7971698516,0.122147,0.00990511,0.118873470178,2.96808e+10,82.1657,2996.003740310669,0.0,163.785390289,0.999527,6.32995963201,379.058439476
163.792,163.820911521,9.013606786727905,612.28348544,1.0602760314941406,0.419684110535,87.619064227,223.389630643,-169.292,246.584991269,24.1132,0.419684110535,163.829,68,52.87717413902283,56,0.13820838928222656,-169.179,-0.294608832112,0.112976,0.00999024,0.419673339449,2.96633e+10,80.6798,3049.013782978058,0.0,163.806125446,0.999491,6.28646579569,354.749061721
163.497,163.527533992,8.881189823150635,697.003728291,1.020766258239746,0.606857085143,120.363137777,199.710470141,-172.933,264.62280264,24.1101,0.606857085143,163.532,58,52.45044565200806,57,0.13773202896118164,-172.802,0.243261368409,0.130981,0.00943814,0.606420572783,2.95734e+10,81.0323,3101.5922100543976,0.0,163.511868845,0.999313,6.3165905352,403.498768491
163.535,163.568228663,8.934694766998291,576.116817188,1.0308268070220947,0.608886232807,88.3559878352,196.697257857,-169.924,255.504494327,24.1093,0.608886232807,163.574,64,52.98911476135254,58,0.14073491096496582,-169.797,0.0912525337314,0.127167,0.00996826,0.608824148522,2.95483e+10,81.3738,3154.710483789444,0.0,163.551260425,0.999264,6.33414176798,373.641819839
