LossAfter,Time,dLoss,Perplexity,EnvExecTime,Entropy,MeanKL,AbsLearnSignal,MaxReturn,Iteration,AbsLearnSignalNew,AverageReturn,AveragePolicyStd,AbsLearnSignalOld,LossBefore,AverageAbsY,AverageY,PolicyExecTime,MinReturn,ProcessExecTime,AverageAbsQYDiff,AverageQLoss,ItrTime,AverageDiscountedReturn,AverageQ,StdReturn,NumTrajs,ExplainedVariance,MeanKLBefore,AverageAbsQ
-119.503,27922.335832834244,0.0435333,150.5,1.3616278171539307,5.01396,0.00989044,0.744764386663,1269.7710573,853,0.744764386663,1217.78922818,0.578714,0.744317873967,-119.46,117.325576885,117.274902394,0.6156606674194336,1169.66645658,0.08915543556213379,1.01662663767,15.4826,32.4819130897522,95.8623376229,117.274,33.1296971142,5,0.870319681399,0.0,117.324
-118.331,27954.523597478867,0.0491409,150.113,1.3651752471923828,5.01139,0.00998823,0.747714156716,1191.82944681,854,0.747714156716,1170.10470436,0.578378,0.748244208784,-118.282,117.246400732,117.19154042,0.6121408939361572,1149.66127576,0.08971357345581055,1.01306944111,15.5143,32.06117391586304,103.360040907,117.19,15.1162863925,5,0.86722234244,0.0,117.245
-118.973,27986.594208478928,0.0412598,150.061,1.358475685119629,5.01104,0.00998292,0.749266861947,1225.80242255,855,0.749266861947,1184.60828899,0.578344,0.749270724673,-118.932,117.301752478,117.246061571,0.6055240631103516,1126.73270504,0.08759164810180664,1.02079542268,15.5093,31.946075201034546,95.5837511963,117.245,32.5814463975,5,0.864018587492,0.0,117.3
-118.256,28018.954304218292,0.0474319,149.633,1.3541169166564941,5.00819,0.00993195,0.673671155983,1259.49007388,856,0.673671155983,1186.50091098,0.578185,0.673933170408,-118.208,117.321035267,117.26648995,0.5708012580871582,1123.11271385,0.0865333080291748,1.00605614979,14.166,32.23671078681946,87.1911565527,117.265,51.8673259467,5,0.752003286391,0.0,117.319
-117.679,28051.138428926468,0.0488968,150.107,1.3531060218811035,5.01135,0.00989722,0.657291984319,1232.28129066,857,0.657291984319,1149.38146702,0.578559,0.656955992968,-117.63,117.325911853,117.272268379,0.6127541065216064,1015.56797732,0.08776092529296875,1.02167687768,15.4303,32.063002824783325,66.360875961,117.271,79.6131725129,5,0.758771560647,0.0,117.325
-118.899,28083.375216007233,0.0455322,150.539,1.3504130840301514,5.01422,0.00641349,0.67526407188,1281.87396189,858,0.67526407188,1197.41289202,0.578896,0.675295043189,-118.854,117.399061709,117.340667992,0.6043157577514648,1155.57144981,0.08795714378356934,1.00829120095,14.4667,32.116779804229736,92.294775138,117.339,43.7400157225,5,0.867255572375,0.0,117.397
-108.983,28115.331116199493,0.0393829,150.267,1.348111629486084,5.01241,0.00641714,0.768921990009,1194.17773232,859,0.768921990009,1023.70745025,0.578737,0.769249517053,-108.944,117.362824428,117.313227673,0.5956487655639648,604.311361519,0.09198713302612305,1.03284383491,15.5769,31.833526849746704,70.8388883497,117.312,215.963892669,5,0.152941113596,0.0,117.361
-118.614,28147.62322616577,0.0430756,149.839,1.3757669925689697,5.00956,0.00994131,0.700548823652,1217.41322418,860,0.700548823652,1198.93061142,0.578546,0.700604425502,-118.571,117.373422931,117.31185341,0.6392917633056641,1163.18854545,0.0908651351928711,1.03715139248,16.0563,32.17182922363281,83.092527126,117.31,21.519086113,5,0.839472006323,0.0,117.372
-118.747,28179.930645227432,0.0476151,149.381,1.3777987957000732,5.0065,0.00996356,0.754438501511,1229.92558515,861,0.754438501511,1174.71842151,0.578254,0.754944094083,-118.699,117.407322257,117.348926378,0.6558914184570312,1128.14231362,0.0909125804901123,1.02649127667,15.1136,32.18196678161621,84.4283661688,117.348,32.5885546,5,0.821678962532,0.0,117.405
-109.705,28213.050001859665,0.0566177,149.218,1.3800768852233887,5.00541,0.00993183,0.684459697238,1219.72301875,862,0.684459697238,1096.87286407,0.578152,0.684452642086,-109.649,117.350152414,117.289691272,0.6470174789428711,766.71990955,0.09037303924560547,1.01370855199,15.2751,32.99845218658447,92.9472777166,117.288,170.051520661,5,0.475684337253,0.0,117.348
