AverageReturn,AbsLearnSignalNew,AverageAbsQ,AverageY,Entropy,dLoss,AverageAbsY,Perplexity,MeanKLBefore,AverageQ,LossAfter,ItrTime,ExplainedVariance,EnvExecTime,StdReturn,Time,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageQLoss,MaxReturn,AverageAbsQYDiff,Iteration,AbsLearnSignal,MeanKL,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,NumTrajs,LossBefore
368.174851782,0.638743834492,171.293,171.278600432,24.1105,0.0995178,171.283423768,2.95845e+10,0.0,171.262,-173.482,53.51737022399902,0.324866222274,8.636224031448364,80.8594879161,3174.221776008606,244.056830427,0.637992428387,1.0310819149017334,96.5478,688.935831667,6.63660502152,58,0.638743834492,0.00642939,254.092099772,0.14116525650024414,0.999333,66,-173.382
346.882558692,0.609481991875,170.876,170.86700904,24.1092,0.124619,170.870962925,2.95452e+10,0.0,170.851,-173.33,53.127665519714355,0.301602226336,8.308378219604492,68.342440681,3227.481177330017,170.481751493,0.608374931463,1.004014253616333,93.0751,488.640825574,6.54097075969,59,0.609481991875,0.00987786,244.395407715,0.13804268836975098,0.999255,70,-173.205
371.121327218,0.286621768793,170.98,170.974628464,24.1093,0.1651,170.978298026,2.95498e+10,0.0,170.958,-171.986,53.392991065979004,-0.739490652736,8.694157838821411,98.0558066884,3281.0062217712402,197.394174238,0.286043999789,1.0252304077148438,93.7302,841.452124546,6.54773306289,60,0.286621768793,0.0099697,254.391400642,0.14072179794311523,0.999264,67,-171.821
367.192779276,0.639448005501,171.075,171.069038864,24.1094,0.107666,171.07210529,2.95502e+10,0.0,171.054,-175.993,53.58341121673584,0.314593027118,8.525656461715698,94.0970899219,3334.7246549129486,232.583581126,0.639507697297,1.0165612697601318,90.5901,697.200609492,6.47146670101,61,0.639448005501,0.00641482,252.040710077,0.13832521438598633,0.999265,65,-175.886
363.061183238,0.678204274161,170.792,170.786382787,24.1098,0.145905,170.789682434,2.9562e+10,0.0,170.771,-176.346,55.210843563079834,0.350671682563,8.729434490203857,103.394408825,3390.0716240406036,211.162920895,0.677861751903,1.0808382034301758,89.6113,718.535181459,6.46847609039,62,0.678204274161,0.00933113,249.224934636,0.14581727981567383,0.999289,66,-176.2
372.551939172,0.680311398708,171.398,171.391895408,24.11,0.134216,171.395097006,2.95693e+10,0.0,171.377,-179.145,55.11085534095764,0.235393408506,8.675171136856079,83.7829138503,3445.3610632419586,158.986365223,0.680413774916,1.091775894165039,90.9316,605.468171668,6.4964250105,63,0.680311398708,0.00991092,255.422467987,0.1499004364013672,0.999304,65,-179.011
394.388687478,0.722262362061,171.72,171.713076159,24.1103,0.127289,171.716441901,2.95769e+10,0.0,171.696,-180.494,52.9537308216095,0.473255867989,8.375190019607544,114.674802147,3498.4514350891113,238.014770459,0.721889606738,0.9809107780456543,88.179,740.925020682,6.43246912656,64,0.722262362061,0.00989134,263.148889101,0.1315627098083496,0.999318,61,-180.367
374.233485129,0.280550570963,171.878,171.868742277,24.1062,0.131088,171.87228516,2.94575e+10,0.0,171.855,-178.489,54.16713237762451,-3.58033169509,8.55126667022705,74.9832588062,3552.748893737793,227.897822109,0.280457605647,1.0174777507781982,90.137,596.569125729,6.5139567838,65,0.280550570963,0.00994621,256.66394099,0.13670849800109863,0.999081,64,-178.358
384.380920385,0.597122512055,172.993,172.982189526,24.1057,0.190048,172.987288842,2.9441e+10,0.0,172.965,-177.935,54.02345514297485,0.122519926362,8.60207223892212,100.746731363,3606.9037067890167,184.220819011,0.596170847836,1.0214323997497559,92.5033,731.6833199,6.58957329204,66,0.597122512055,0.0091885,259.923450067,0.13893914222717285,0.999049,63,-177.745
371.130908387,0.127845436536,172.997,172.981190078,24.1064,0.110519,172.986642833,2.94615e+10,0.0,172.968,-175.451,53.998924255371094,-21.0832985574,8.606337070465088,81.8347702317,3661.0414292812347,206.435019012,0.127702318059,1.0119919776916504,91.5844,748.561327188,6.56801629915,67,0.127845436536,0.00638503,255.404198209,0.13793420791625977,0.99909,66,-175.341
