ExplainedVariance,LossBefore,MeanKL,ProcessExecTime,PolicyExecTime,AverageQ,AverageAbsQYDiff,Time,MaxReturn,ItrTime,NumTrajs,Perplexity,AverageY,Iteration,AverageAbsY,AveragePolicyStd,AverageReturn,AverageAbsQ,Entropy,MeanKLBefore,AverageDiscountedReturn,LossAfter,StdReturn,MinReturn,AbsLearnSignal,EnvExecTime,AverageQLoss,AbsLearnSignalOld,dLoss,AbsLearnSignalNew
0.82552375971,-292.85,0.00999533,0.08913326263427734,0.6231913566589355,268.679,3.44179218814,24074.377755641937,3037.63551392,32.806401014328,5,2404.53,268.683571577,720,274.252323835,0.890165,2848.9810124,274.242,7.78511,0.0,228.92341095,-292.889,131.574463376,2665.13992223,0.784480749317,1.5792160034179688,97.4395,0.785141229667,0.0385437,0.784480749317
0.457787882681,-266.967,0.0099431,0.08780694007873535,0.6259703636169434,268.895,3.38477313286,24107.437359809875,3271.37605528,32.952287912368774,5,2405.67,268.899522004,721,274.414547274,0.890286,2648.09763816,274.407,7.78558,0.0,239.277500378,-267.009,622.38678626,1451.6296215,0.704285161519,1.5940520763397217,88.3573,0.704304284585,0.0421448,0.704285161519
0.70315163453,-290.961,0.00989873,0.08806109428405762,0.659207820892334,269.009,3.43329538896,24140.70192527771,3138.11364923,33.15733504295349,5,2407.16,269.013622093,722,274.496506133,0.89035,2822.90243601,274.488,7.7862,0.0,208.415126022,-291.004,173.104857082,2639.95711298,0.740421330123,1.599384069442749,93.9209,0.741122054025,0.0427551,0.740421330123
-0.692841633845,-263.233,0.00640491,0.09102964401245117,0.6361880302429199,269.282,3.39136089398,24173.45379972458,3126.99180576,32.64166498184204,5,2401.34,269.283738722,723,274.658351493,0.889954,2599.09703225,274.653,7.78378,0.0,226.793499931,-263.266,486.812094462,1750.70052189,0.443521668515,1.6053268909454346,91.3029,0.442964609319,0.0335999,0.443521668515
0.756780039929,-291.412,0.00986648,0.09613633155822754,0.6985578536987305,269.54,3.40455030755,24206.569242954254,2937.16184656,33.006032943725586,5,2403.58,269.545001804,724,274.881444901,0.890121,2789.40951084,274.873,7.78471,0.0,229.621328044,-291.453,120.396064969,2591.89080451,0.769207260158,1.6330394744873047,94.7913,0.768463928335,0.0404968,0.769207260158
0.753108538409,-281.372,0.00644436,0.09275126457214355,0.6773245334625244,269.524,3.44300527116,24239.14267349243,2826.49299972,32.46859407424927,5,2404.94,269.527084776,725,274.894881225,0.890204,2689.03467125,274.887,7.78528,0.0,223.436821658,-281.408,177.296890407,2358.23802543,0.65056956972,1.6241416931152344,96.8969,0.650490429714,0.0364685,0.65056956972
0.812192675764,-293.887,0.00641681,0.09218382835388184,0.6881098747253418,269.765,3.44081862144,24271.786435842514,3200.00916439,32.536134004592896,5,2400.86,269.768440929,726,275.096874803,0.889934,2923.2295213,275.088,7.78358,0.0,229.470742157,-293.92,154.732337455,2720.77635145,0.795587910757,1.6041834354400635,97.6148,0.795872937318,0.0323181,0.795587910757
0.811585255931,-234.91,0.00992852,0.09716248512268066,0.7185995578765869,269.494,3.41391527539,24305.035068273544,2822.05823335,33.14453840255737,5,2394.99,269.497528215,727,274.87154838,0.889575,2195.86245776,274.865,7.78113,0.0,210.209497067,-234.954,1154.18683436,-111.484994414,0.706177523183,1.653228759765625,97.9124,0.705340498201,0.0440216,0.706177523183
0.74519440416,-247.406,0.00997487,0.09208536148071289,0.7065274715423584,269.151,3.40485348114,24337.84127664566,3126.62411576,32.70191240310669,5,2391.55,269.153539131,728,274.60682104,0.889368,2492.68282917,274.602,7.7797,0.0,260.249119995,-247.45,605.002550791,1496.8586423,0.627507152361,1.6302211284637451,93.5099,0.628474440443,0.0440216,0.627507152361
0.658390965766,-290.433,0.00993824,0.08932328224182129,0.6829164028167725,269.351,3.39408616518,24371.167900800705,2817.3575502,33.21812605857849,5,2391.96,269.35422784,729,274.769178869,0.889388,2703.16996661,274.762,7.77987,0.0,245.58628791,-290.473,120.486899861,2490.33717926,0.709411762659,1.6010007858276367,91.054,0.708769246375,0.039856,0.709411762659
