AverageReturn,Perplexity,AverageY,AverageDiscountedReturn,NumTrajs,MaxReturn,ItrTime,ProcessExecTime,Time,LossAfter,LossBefore,StdReturn,ExplainedVariance,AveragePolicyStd,AverageQ,AverageAbsY,AverageQLoss,MinReturn,MeanKLBefore,MeanKL,AbsLearnSignalNew,dLoss,EnvExecTime,AbsLearnSignal,PolicyExecTime,AverageAbsQYDiff,Iteration,AbsLearnSignalOld,AverageAbsQ,Entropy
373.303117428,2.95512e+10,163.960863546,255.358903853,65,632.487807846,55.790383100509644,0.16586613655090332,2814.796347618103,-165.42,-165.322,94.6406458673,-0.28938018091,0.999265,163.947,163.968074038,81.056,230.431783483,0.0,0.00889977,0.445721721202,0.0979004,9.186646938323975,0.445721721202,1.150125503540039,6.31890768916,50,0.445138167692,163.984,24.1094
372.756743481,2.94763e+10,163.9347111,254.953355581,65,664.255860724,55.69106483459473,0.14751195907592773,2870.6139109134674,-168.539,-168.45,97.1860787897,0.389432322301,0.999117,163.921,163.943587754,80.3315,196.105522198,0.0,0.00643878,0.671397285741,0.0890961,8.930369853973389,0.671397285741,1.1153309345245361,6.283670118,51,0.671851337218,163.959,24.1069
353.563073111,2.94332e+10,163.662328628,246.736242551,68,619.805622438,56.0802116394043,0.14876174926757812,2926.818995475769,-160.188,-160.065,87.2987681406,0.4138623508,0.999031,163.65,163.669097877,79.4273,183.543035894,0.0,0.00897884,0.676781879944,0.122177,9.181358814239502,0.676781879944,1.1388471126556396,6.26756651569,52,0.677149940757,163.685,24.1054
388.871354352,2.94334e+10,163.765485883,262.32402869,63,750.287064593,56.22549271583557,0.14739227294921875,2983.1809833049774,-168.385,-168.303,105.823738267,-8.79391872887,0.999031,163.752,163.772548324,79.2864,219.298687001,0.0,0.00969873,0.196709845131,0.0819855,9.141169548034668,0.196709845131,1.121143102645874,6.24301225764,53,0.196667717242,163.787,24.1054
375.49267991,2.94615e+10,163.444223301,255.405074778,64,979.037946245,57.23044681549072,0.1509990692138672,3040.5384981632233,-160.964,-160.861,110.389524747,-0.0347881985925,0.999088,163.433,163.450907175,78.2999,178.423179758,0.0,0.00916019,0.67663547069,0.102829,9.414549350738525,0.67663547069,1.1603999137878418,6.21891152223,54,0.676433374804,163.466,24.1064
369.792709349,2.94714e+10,163.580707483,254.260842179,66,635.970187848,57.41952991485596,0.15056586265563965,3098.0835394859314,-162.097,-161.995,91.0563563078,0.255012827393,0.999107,163.568,163.589192317,78.2606,222.985545002,0.0,0.00885988,0.654807996532,0.10231,9.318923234939575,0.654807996532,1.1267430782318115,6.18105563397,55,0.654358840668,163.607,24.1067
369.767530106,2.93265e+10,163.345765242,254.086016039,66,611.607341891,57.25982213020325,0.14842915534973145,3155.4769139289856,-167.473,-167.371,94.1381770241,0.50420909056,0.998818,163.334,163.353608527,77.0621,231.243907043,0.0,0.00982902,0.727444815294,0.101883,9.118019104003906,0.727444815294,1.1199800968170166,6.15843197149,56,0.7277023607,163.371,24.1018
375.894356418,2.93893e+10,163.405307142,256.501212468,64,775.400717019,56.39664816856384,0.14692997932434082,3212.000741481781,-165.35,-165.229,98.394719125,-1.95676592512,0.998943,163.394,163.412885847,78.3249,216.679143867,0.0,0.00613398,0.268608726367,0.120285,8.998039484024048,0.268608726367,1.0891962051391602,6.17756201192,57,0.268224282484,163.427,24.1039
353.987079425,2.94444e+10,163.364838768,245.482679185,68,689.192538704,56.509952783584595,0.148331880569458,3268.6369524002075,-165.334,-165.23,106.961249962,0.227888085565,0.999053,163.351,163.374245966,78.1397,194.819122771,0.0,0.00945614,0.709762802192,0.103424,8.948040246963501,0.709762802192,1.0775845050811768,6.17205148473,58,0.70969339834,163.39,24.1058
374.190519689,2.939e+10,163.299427724,255.805782415,65,793.865390328,57.355485916137695,0.144913911819458,3326.118694782257,-166.363,-166.261,102.488468021,-0.159931724052,0.998946,163.288,163.308814385,76.6428,193.6622424,0.0,0.00981854,0.540104666003,0.101273,8.902927160263062,0.540104666003,1.0746629238128662,6.1242330189,59,0.539591897143,163.328,24.1039
