MeanKL,ProcessExecTime,AbsLearnSignalOld,Perplexity,LossAfter,ItrTime,AverageQ,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,LossBefore,Time,AverageAbsY,AverageReturn,Iteration,AbsLearnSignal,AverageAbsQYDiff,MaxReturn,StdReturn,AbsLearnSignalNew,MeanKLBefore,NumTrajs,AverageQLoss,AverageAbsQ,AverageY,PolicyExecTime,AverageDiscountedReturn,Entropy,dLoss
0.00623658,0.13859796524047852,0.593777012975,2.8276e+10,-188.966,66.14957404136658,181.907,0.996708,10.116475820541382,0.510560933119,265.730278524,-188.921,24000.024493932724,181.931944126,432.331202575,359,0.593509950473,4.7471710955,686.079707372,91.0981464521,0.593509950473,0.0,55,44.1528,181.97,181.909302349,1.164191722869873,278.004871552,24.0653,0.0445404
0.00940488,0.14472270011901855,0.404795757156,2.82441e+10,-190.752,67.042062997818,182.208,0.996642,10.853327751159668,-0.317563620319,282.158587085,-190.685,24067.199033021927,182.236902454,474.20016456,360,0.404483999663,4.78189212617,1018.61465167,122.452090928,0.404483999663,0.0,51,44.9157,182.271,182.21232288,1.2286744117736816,292.615776972,24.0641,0.0675964
0.00963268,0.14224696159362793,0.356910131277,2.82359e+10,-184.477,67.43244314193726,181.777,0.996625,10.40937089920044,-2.31857734522,242.231693864,-184.362,24134.75663948059,181.807792029,428.308436687,361,0.356918395923,4.77332781504,665.786234755,89.3917984391,0.356918395923,0.0,55,44.8108,181.839,181.782510597,1.1940369606018066,276.495581035,24.0639,0.114243
0.00929137,0.14032864570617676,0.518939068345,2.82958e+10,-192.873,67.77863192558289,182.346,0.99675,10.48604130744934,0.291191867508,299.703838053,-192.799,24202.658752202988,182.37331382,467.027170932,362,0.519167319988,4.74106286694,663.941553168,89.7522982446,0.519167319988,0.0,52,44.0075,182.409,182.349275035,1.2073323726654053,293.262498257,24.066,0.0739136
0.00984698,0.1412980556488037,0.309841961613,2.83414e+10,-183.646,67.50123953819275,182.478,0.996845,10.506124258041382,-1.77464473181,318.56271692,-183.58,24270.300844669342,182.507135059,473.184014773,363,0.309831241447,4.70061825717,1057.33116903,140.969500458,0.309831241447,0.0,49,43.1967,182.54,182.482423008,1.1980957984924316,290.067542555,24.0676,0.0663452
0.00959503,0.14418959617614746,0.680400052452,2.82397e+10,-183.656,67.65321373939514,182.438,0.996634,10.946937084197998,0.244768069902,262.868220257,-183.575,24338.077517986298,182.46429697,422.989874125,364,0.680529658719,4.69350441456,712.52280253,99.7219845378,0.680529658719,0.0,56,42.964,182.5,182.441952619,1.252152442932129,273.89696761,24.064,0.0809784
0.00949268,0.14146113395690918,0.657945080935,2.82294e+10,-192.389,66.65078926086426,182.502,0.996611,10.37837028503418,0.462313241137,298.116191579,-192.319,24404.84560751915,182.528648102,442.259519133,365,0.658145713432,4.68561864219,816.271788137,93.8397128536,0.658145713432,0.0,55,42.9653,182.561,182.505642647,1.230729103088379,283.256772102,24.0636,0.069931
0.00895769,0.1428813934326172,0.700654882489,2.82716e+10,-189.564,66.21025347709656,182.804,0.996699,10.496250867843628,0.565214816429,291.851593681,-189.49,24471.181077241898,182.831858898,444.485808448,366,0.700804644393,4.69292128229,673.269464099,71.0901049437,0.700804644393,0.0,55,43.0916,182.865,182.809115904,1.2233507633209229,285.105279425,24.0651,0.0742035
0.00871349,0.14259934425354004,0.609264814269,2.82625e+10,-193.472,66.6597306728363,182.782,0.996678,10.376367807388306,0.588424631098,307.232278038,-193.403,24537.96024942398,182.812610749,450.167019728,367,0.609686545782,4.68444599201,722.393580249,86.5121012639,0.609686545782,0.0,54,42.9193,182.847,182.786667253,1.2209413051605225,286.227123139,24.0648,0.0684357
0.00897709,0.14617037773132324,0.661305475568,2.82803e+10,-186.326,67.5127625465393,182.439,0.996715,10.802933931350708,0.443390734577,280.254326676,-186.246,24605.606561899185,182.470042665,436.522890652,368,0.661391486278,4.73172762372,881.696393381,109.20235161,0.661391486278,0.0,55,44.3637,182.505,182.442959668,1.2583904266357422,279.268567407,24.0654,0.079895
